"","Bgy_Code","cases_7","cases_14","infection_rate","classification","population","AR_7","AR_14","AR_cumulative"
"1",137404008,0,0,NA,NA,1,NA,NA,NA
"2",137404075,0,0,NA,NA,1,NA,NA,NA
"3",137404065,0,0,NA,NA,1,NA,NA,NA
"4",137404105,0,0,NA,NA,1,NA,NA,NA
"5",137404045,6,9,10.3806228373702,1,8670,6.92041522491349,10.3806228373702,17.3010380622837
"6",137404077,0,0,NA,NA,1,NA,NA,NA
"7",137404039,0,0,NA,NA,1,NA,NA,NA
"8",137404056,0,0,NA,NA,1,NA,NA,NA
"9",137404099,0,0,NA,NA,1,NA,NA,NA
"10",137404031,0,0,NA,NA,1,NA,NA,NA
"11",137404104,0,0,NA,NA,1,NA,NA,NA
"12",137404021,0,0,NA,NA,1,NA,NA,NA
"13",137404095,0,0,NA,NA,1,NA,NA,NA
"14",137404101,0,0,NA,1,1,NA,NA,NA
"15",137404015,0,0,NA,NA,1,NA,NA,NA
"16",137404055,0,0,NA,NA,1,NA,NA,NA
"17",137404072,0,0,NA,NA,1,NA,NA,NA
"18",137404086,0,0,NA,NA,1,NA,NA,NA
"19",137404046,0,0,NA,NA,1,NA,NA,NA
"20",137404097,0,0,NA,NA,1,NA,NA,NA
"21",137404139,0,1,0.0619544139422213,NA,161409,0,0.0619544139422213,2.23035890191997
"22",137404058,0,0,NA,NA,1,NA,NA,NA
"23",137404096,0,0,NA,NA,1,NA,NA,NA
"24",137404115,0,0,NA,NA,1,NA,NA,NA
"25",137404120,0,2,0.221508472699081,NA,90290,0,0.221508472699081,3.65488979953483
"26",137404129,1,1,1.12777715123492,NA,8867,1.12777715123492,1.12777715123492,2.25555430246983
"27",137404028,0,0,NA,NA,1,NA,NA,NA
"28",137404087,0,0,NA,NA,1,NA,NA,NA
"29",137404017,0,0,NA,NA,1,NA,NA,NA
"30",137404113,0,0,NA,NA,1,NA,NA,NA
"31",137404091,0,0,NA,NA,1,NA,NA,NA
"32",137404126,0,0,NA,NA,1,NA,NA,NA
"33",137404107,0,0,NA,NA,1,NA,NA,NA
"34",137404124,0,0,NA,NA,1,NA,NA,NA
"35",137404014,0,0,NA,NA,1,NA,NA,NA
"36",137404038,0,0,NA,NA,1,NA,NA,NA
"37",137404118,0,0,NA,NA,1,NA,NA,NA
"38",137404090,0,1,0.62266500622665,NA,16060,0,0.62266500622665,18.6799501867995
"39",137404128,0,0,NA,3,1,NA,NA,NA
"40",137404004,0,0,NA,NA,1,NA,NA,NA
"41",137404023,0,0,NA,NA,1,NA,NA,NA
"42",137404048,0,0,NA,NA,1,NA,NA,NA
"43",137404140,2,6,0.54324698724275,NA,110447,0.181082329080917,0.54324698724275,2.62569377167329
"44",137404025,0,0,NA,NA,1,NA,NA,NA
"45",137404079,0,0,NA,NA,1,NA,NA,NA
"46",137404132,0,0,NA,NA,1,NA,NA,NA
"47",137404059,0,0,NA,1,1,NA,NA,NA
"48",137404117,0,0,NA,NA,1,NA,NA,NA
"49",137404050,0,0,NA,1,1,NA,NA,NA
"50",137404116,0,1,0.643252283545607,NA,15546,0,0.643252283545607,7.07577511900167
"51",137404001,1,2,3.06419488279455,NA,6527,1.53209744139727,3.06419488279455,22.9814616209591
"52",137404070,0,0,NA,NA,1,NA,NA,NA
"53",137404074,0,0,NA,NA,1,NA,NA,NA
"54",137404018,0,0,NA,NA,1,NA,NA,NA
"55",137404089,0,1,0.614212886186352,NA,16281,0,0.614212886186352,22.1116639027087
"56",137404125,0,0,NA,NA,1,NA,NA,NA
"57",137404088,0,0,NA,NA,1,NA,NA,NA
"58",137404053,2,2,4.97760079641613,NA,4018,4.97760079641613,4.97760079641613,4.97760079641613
"59",137404137,0,0,NA,NA,1,NA,NA,NA
"60",137404006,0,1,0.175635801601799,NA,56936,0,0.175635801601799,2.81017282562878
"61",137404092,0,0,NA,NA,1,NA,NA,NA
"62",137404138,1,1,0.0767265389425549,NA,130333,0.0767265389425549,0.0767265389425549,7.59592735531293
"63",137404002,0,1,2.08855472013367,NA,4788,0,2.08855472013367,8.35421888053467
"64",137404083,0,0,NA,NA,1,NA,NA,NA
"65",137404042,0,0,NA,NA,1,NA,NA,NA
"66",137404131,0,0,NA,NA,1,NA,NA,NA
"67",137404003,0,0,NA,NA,1,NA,NA,NA
"68",137404005,0,0,NA,NA,1,NA,NA,NA
"69",137404007,0,4,5.91103886508054,1,6767,0,5.91103886508054,11.8220777301611
"70",137404009,0,0,NA,NA,1,NA,NA,NA
"71",137404010,0,1,0.113251565702896,NA,88299,0,0.113251565702896,1.92527661694923
"72",137404011,0,0,NA,NA,1,NA,NA,NA
"73",137404012,0,0,NA,NA,1,NA,NA,NA
"74",137404013,0,0,NA,4,1,NA,NA,NA
"75",137404016,0,0,NA,NA,1,NA,NA,NA
"76",137404019,0,0,NA,NA,1,NA,NA,NA
"77",137404020,0,1,0.568504832291074,NA,17590,0,0.568504832291074,1.70551449687322
"78",137404022,0,0,NA,NA,1,NA,NA,NA
"79",137404024,0,0,NA,1,1,NA,NA,NA
"80",137404026,0,0,NA,NA,1,NA,NA,NA
"81",137404027,0,0,NA,NA,1,NA,NA,NA
"82",137404029,0,0,NA,NA,1,NA,NA,NA
"83",137404030,0,0,NA,NA,1,NA,NA,NA
"84",137404032,0,0,NA,NA,1,NA,NA,NA
"85",137404033,0,0,NA,NA,1,NA,NA,NA
"86",137404034,0,0,NA,1,1,NA,NA,NA
"87",137404035,1,1,0.510360314381954,NA,19594,0.510360314381954,0.510360314381954,0.510360314381954
"88",137404036,0,0,NA,NA,1,NA,NA,NA
"89",137404037,0,0,NA,NA,1,NA,NA,NA
"90",137404040,0,0,NA,NA,1,NA,NA,NA
"91",137404041,0,0,NA,NA,1,NA,NA,NA
"92",137404043,0,0,NA,NA,1,NA,NA,NA
"93",137404044,0,0,NA,NA,1,NA,NA,NA
"94",137404047,0,0,NA,NA,1,NA,NA,NA
"95",137404049,0,0,NA,NA,1,NA,NA,NA
"96",137404051,0,0,NA,NA,1,NA,NA,NA
"97",137404052,0,0,NA,NA,1,NA,NA,NA
"98",137404054,0,0,NA,NA,1,NA,NA,NA
"99",137404057,0,0,NA,NA,1,NA,NA,NA
"100",137404060,0,0,NA,1,1,NA,NA,NA
"101",137404061,0,1,2.45218244237371,NA,4078,0,2.45218244237371,2.45218244237371
"102",137404062,0,0,NA,NA,1,NA,NA,NA
"103",137404063,0,0,NA,NA,1,NA,NA,NA
"104",137404064,0,0,NA,NA,1,NA,NA,NA
"105",137404066,0,0,NA,NA,1,NA,NA,NA
"106",137404067,0,0,NA,NA,1,NA,NA,NA
"107",137404068,0,0,NA,NA,1,NA,NA,NA
"108",137404069,0,0,NA,NA,1,NA,NA,NA
"109",137404071,0,0,NA,NA,1,NA,NA,NA
"110",137404073,0,0,NA,NA,1,NA,NA,NA
"111",137404076,0,0,NA,NA,1,NA,NA,NA
"112",137404078,0,0,NA,NA,1,NA,NA,NA
"113",137404080,0,2,0.193986420950533,NA,103100,0,0.193986420950533,3.00678952473327
"114",137404081,0,0,NA,NA,1,NA,NA,NA
"115",137404082,0,0,NA,NA,1,NA,NA,NA
"116",137404084,0,0,NA,NA,1,NA,NA,NA
"117",137404085,0,0,NA,NA,1,NA,NA,NA
"118",137404093,0,0,NA,NA,1,NA,NA,NA
"119",137404094,0,0,NA,NA,1,NA,NA,NA
"120",137404098,0,0,NA,NA,1,NA,NA,NA
"121",137404100,0,0,NA,4,1,NA,NA,NA
"122",137404102,0,0,NA,NA,1,NA,NA,NA
"123",137404103,0,0,NA,NA,1,NA,NA,NA
"124",137404106,1,2,0.42961785491805,NA,46553,0.214808927459025,0.42961785491805,2.36289820204928
"125",137404108,0,1,0.962278675904542,NA,10392,0,0.962278675904542,5.77367205542725
"126",137404109,0,0,NA,NA,1,NA,NA,NA
"127",137404110,0,0,NA,NA,1,NA,NA,NA
"128",137404111,0,0,NA,NA,1,NA,NA,NA
"129",137404112,0,0,NA,NA,1,NA,NA,NA
"130",137404114,0,0,NA,NA,1,NA,NA,NA
"131",137404119,2,2,0.570174188214499,NA,35077,0.570174188214499,0.570174188214499,6.84209025857399
"132",137404121,0,1,0.158405803988658,NA,63129,0,0.158405803988658,10.1379714552741
"133",137404122,0,0,NA,NA,1,NA,NA,NA
"134",137404123,0,0,NA,NA,1,NA,NA,NA
"135",137404127,0,0,NA,NA,1,NA,NA,NA
"136",137404130,0,0,NA,NA,1,NA,NA,NA
"137",137404133,0,0,NA,NA,1,NA,NA,NA
"138",137404134,0,0,NA,NA,1,NA,NA,NA
"139",137404135,0,0,NA,NA,1,NA,NA,NA
"140",137404136,0,0,NA,NA,1,NA,NA,NA
"141",137404141,0,1,0.439290107186786,NA,22764,0,0.439290107186786,1.31787032156036
"142",137404142,0,0,NA,NA,1,NA,NA,NA
