area,Geographical.Level,Geographical.Place,H1,H2,L1,L2,GCQ,MGCQ,MECQ,ECQ,CQ.Dates,CQ.Classification,CQ.Values
180000000,national,PhilippinesNational,129073.3,13726.4,1688.310115,1688.310115,34.553957,13.78250184,55.46041285,70.4289618,,,
170000000,region,4B-Mimaropa,129073.3,13726.4,1126.701873,1126.701873,29.83475915,13.50513839,49.07828265,59.72069745,2020-04-30;2020-05-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,ECQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ,95.06;47.89;18.5
160000000,region,CARAGA-Caraga,129073.3,13726.4,1297.298966,1297.298966,36.13815676,14.48665052,60.57610671,76.20631205,2020-05-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,GCQ;MGCQ;MGCQ;MGCQ;MGCQ,46.53;17.31
150000000,region,BARMM-BARMM,129073.3,13726.4,1401.525371,1401.525371,17.34406268,5.600292474,31.57263989,24.9415071,2020-05-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,GCQ;MGCQ;MGCQ;MGCQ;MGCQ,26.31;12.96
140000000,region,CAR-CAR,129073.3,13726.4,1112.612923,1112.612923,44.30807771,15.04087,67.52616716,66.0134842,2020-04-30;2020-05-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,ECQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ,139.63;67.18;31.99
130000000,region,NCR-National capital region,129073.3,13726.4,2261.885829,2261.885829,64.69469868,28.08813613,105.8032146,187.3138249,2020-05-15;2020-05-31;2020-08-02;2020-08-18;2020-12-31;2021-01-31;2021-02-28;2021-03-31,ECQ;MECQ;GCQ;MECQ;GCQ;GCQ;GCQ;GCQ,210.15;115.9;69.54;115.9;69.54
120000000,region,12-Soccsksargen,129073.3,13726.4,1541.922027,1541.922027,36.12074231,12.50255932,49.9594988,55.71644209,2020-05-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,GCQ;MGCQ;MGCQ;MGCQ;MGCQ,36.29;13.61
110000000,region,11-Davao,129073.3,13726.4,1987.014896,1987.014896,39.61418187,15.22192562,58.28914051,75.49867358,2020-05-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,GCQ;MGCQ;MGCQ;MGCQ;MGCQ,44.25;15.76
100000000,region,10-Northern mindanao,129073.3,13726.4,1250.33602,1250.33602,34.11213926,13.15096658,57.07652093,72.22767107,2020-05-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,GCQ;MGCQ;MGCQ;MGCQ;MGCQ,46.75;18.7
90000000,region,9-Zamboanga peninsula,129073.3,13726.4,1274.15,1274.15,25.19397025,8.879833394,42.65525209,43.93230491,2020-05-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,GCQ;MGCQ;MGCQ;MGCQ;MGCQ,37.08;13.46
80000000,region,8-Eastern Visayas,129073.3,13726.4,1431.799271,1431.799271,40.63118734,13.35735155,62.72855279,65.73844303,2020-05-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,GCQ;MGCQ;MGCQ;MGCQ;MGCQ,46.93;16.13
70000000,region,7-Central visayas,129073.3,13726.4,1662.34,1662.34,40.13829701,15.27337594,60.54616343,84.08655965,2020-06-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31,GCQ;MGCQ;MGCQ;MGCQ;MGCQ,40.1;17.74
60000000,region,6-Western Visayas,129073.3,13726.4,1435.222099,1435.222099,39.77357276,14.12757251,59.30896439,72.69251751,2020-05-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,GCQ;MGCQ;MGCQ;MGCQ;MGCQ,49.44;19.52
50000000,region,5-Bicol,129073.3,13726.4,1494.515316,1494.515316,31.33745214,13.8170624,53.44107709,70.61074762,2020-04-30;2020-05-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,ECQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ,106.64;50.09;20.43
40000000,region,4A-Calabarzon,129073.3,13726.4,2025.359683,2025.359683,52.07079925,23.54460477,78.21560762,139.9879024,2020-05-15;2020-06-30;2020-07-15;2020-08-02;2020-08-18;2020-08-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,ECQ;GCQ;MGCQ;GCQ;MECQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ,174;48.59;21.39;48.59;96.65;48.59;21.39
30000000,region,3-Central luzon,129073.3,13726.4,1500.82,1500.82,29.28920701,16.88514702,52.41410826,89.04913011,2020-05-15;2020-05-31;2020-06-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31,ECQ;MECQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ,111.36;62.67;38.6;15.61
20000000,region,2-Cagayan valley,129073.3,13726.4,2127.982586,2127.982586,35.90663485,13.46695044,60.86277711,58.6656926,2020-04-30;2020-06-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31,ECQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ,118.57;57.45;20.45
10000000,region,1-Ilocos,129073.3,13726.4,1459.425407,1459.425407,33.11479005,16.55173051,57.08744058,78.67997523,2020-04-30;2020-05-31;2020-12-31;2021-01-31;2021-02-28;2021-03-31,ECQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ,110.12;54.47;20.89