area,Geographical.Level,Geographical.Place,H1,H2,K1,K2,L1,L2,GCQ,MGCQ,MECQ,ECQ,GCQ2,MGCQ2,MECQ2,ECQ2,GCQ3,MGCQ3,MECQ3,ECQ3,CQ.Dates,CQ.Classification,CQ.Values
180000000,national,PhilippinesNational,23211.04,12028.55,0.055982766066239906,3.4754957614639777,2963.35,2963.35,137.8349,71.9216,182.7545,326.7698,134.8462,38.6606,155.5692,197.5568,113.5927,35.7706,155.5692,197.5568,,,0
170000000,region,4B-Mimaropa,23211.04,12028.55,0.09324573414338665,2.3389773479429055,1166.81,1166.81,76.4209,41.321,95.502,160.4938,74.7741,22.8024,82.8649,100.8338,62.8611,20.8883,82.8649,100.8338,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,ECQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,160.4938;76.4209;76.4209;41.321;41.321;41.321;41.321;41.321;41.321;41.321;41.321;41.321;22.8024;22.8024;22.8024;22.8024;20.8883;20.8883;20.8883;20.8883;20.8883
160000000,region,CARAGA-Caraga,23211.04,12028.55,0.0,2.7155851592845104,622.88,622.88,41.3387,20.1307,45.6988,94.138,40.5589,11.0854,46.3536,58.3141,33.9426,9.937,46.3536,58.3141,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,GCQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,41.3387;41.3387;41.3387;20.1307;20.1307;20.1307;20.1307;20.1307;20.1307;20.1307;20.1307;20.1307;11.0854;11.0854;11.0854;11.0854;9.937;9.937;9.937;9.937;9.937
150000000,region,BARMM-BARMM,23211.04,12028.55,0.15460493895330354,3.871493374682643,1210.7,1210.7,39.668,10.1449,46.4544,73.0972,39.2222,8.0581,45.429,35.8876,31.1063,7.9547,45.429,35.8876,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,GCQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,39.668;39.668;39.668;10.1449;10.1449;10.1449;10.1449;10.1449;10.1449;10.1449;10.1449;10.1449;8.0581;8.0581;8.0581;8.0581;7.9547;7.9547;7.9547;7.9547;7.9547
140000000,region,CAR-CAR,23211.04,12028.55,0.15823518497566696,1.675337015099696,3027.64,3027.64,253.8361,101.9012,372.0178,608.7748,244.967,65.576,294.4041,287.8091,204.3127,64.392,294.4041,287.8091,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,ECQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;GCQ3;GCQ3;GCQ3;GCQ3;GCQ3,608.7748;253.8361;253.8361;101.9012;101.9012;101.9012;101.9012;101.9012;101.9012;101.9012;101.9012;101.9012;65.576;65.576;65.576;65.576;204.3127;204.3127;204.3127;204.3127;204.3127
130000000,region,NCR-National capital region,23211.04,12028.55,0.043480802507450525,3.3198546391231583,7687.5,7687.5,476.5619,328.1815,604.8395,1096.7082,467.4398,146.5816,552.1479,977.5217,402.7352,131.8392,552.1479,977.5217,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,ECQ;ECQ;MECQ;GCQ;GCQ;GCQ;GCQ;GCQ;MECQ;MECQ;GCQ;GCQ;GCQ2;GCQ2;GCQ2;GCQ2;GCQ3;GCQ3;ECQ3;MECQ3;GCQ3,1096.7082;1096.7082;604.8395;476.5619;476.5619;476.5619;476.5619;476.5619;604.8395;604.8395;476.5619;476.5619;467.4398;467.4398;467.4398;467.4398;402.7352;402.7352;977.5217;552.1479;402.7352
120000000,region,12-Soccsksargen,23211.04,12028.55,0.0,4.013920244963666,2294.27,2294.27,108.3554,47.7722,108.2346,196.6602,105.958,29.9839,119.8139,133.6203,90.9044,28.1037,119.8139,133.6203,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,GCQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,108.3554;108.3554;108.3554;47.7722;47.7722;47.7722;47.7722;47.7722;47.7722;47.7722;47.7722;47.7722;29.9839;29.9839;29.9839;29.9839;28.1037;28.1037;28.1037;28.1037;28.1037
110000000,region,11-Davao,23211.04,12028.55,0.33910074157187,4.559744566864168,4184.28,4184.28,170.6981,91.126,202.1853,358.42,166.9094,50.9256,195.0089,252.5842,142.4427,46.0712,195.0089,252.5842,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,GCQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,170.6981;170.6981;170.6981;91.126;91.126;91.126;91.126;91.126;91.126;91.126;91.126;91.126;50.9256;50.9256;50.9256;50.9256;46.0712;46.0712;46.0712;46.0712;46.0712
100000000,region,10-Northern mindanao,23211.04,12028.55,0.0,2.9121725289655442,2296.31,2296.31,155.594,75.606,175.0937,307.9489,150.8435,38.5661,167.3809,211.8127,126.2482,34.9485,167.3809,211.8127,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,GCQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,155.594;155.594;155.594;75.606;75.606;75.606;75.606;75.606;75.606;75.606;75.606;75.606;38.5661;38.5661;38.5661;38.5661;34.9485;34.9485;34.9485;34.9485;34.9485
90000000,region,9-Zamboanga peninsula,23211.04,12028.55,0.12330936286514323,2.9508193587362292,1816.74,1816.74,88.4688,35.8229,106.325,182.8096,86.4291,20.7323,99.59,102.5716,72.7554,19.2424,99.59,102.5716,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,GCQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,88.4688;88.4688;88.4688;35.8229;35.8229;35.8229;35.8229;35.8229;35.8229;35.8229;35.8229;35.8229;20.7323;20.7323;20.7323;20.7323;19.2424;19.2424;19.2424;19.2424;19.2424
80000000,region,8-Eastern Visayas,23211.04,12028.55,0.2831548287154072,3.1126970193960175,1744.88,1744.88,111.9706,51.1537,110.8035,206.02,109.1254,26.0929,122.5371,128.4168,92.1457,23.9598,122.5371,128.4168,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,GCQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,111.9706;111.9706;111.9706;51.1537;51.1537;51.1537;51.1537;51.1537;51.1537;51.1537;51.1537;51.1537;26.0929;26.0929;26.0929;26.0929;23.9598;23.9598;23.9598;23.9598;23.9598
70000000,region,7-Central visayas,23211.04,12028.55,0.05619551930510239,3.904139989044941,3048.1,3048.1,153.1151,95.5614,209.393,373.4648,149.482,44.6012,176.8065,245.5491,120.1038,41.1969,176.8065,245.5491,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,ECQ;ECQ;GCQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,373.4648;373.4648;153.1151;153.1151;153.1151;95.5614;95.5614;95.5614;95.5614;95.5614;95.5614;95.5614;44.6012;44.6012;44.6012;44.6012;41.1969;41.1969;41.1969;41.1969;41.1969
60000000,region,6-Western Visayas,23211.04,12028.55,0.04323752254667119,3.386777962370397,1567.26,1567.26,92.1975,52.7962,107.7237,186.0203,90.7046,24.7316,103.8256,127.2547,77.8742,22.746,103.8256,127.2547,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,GCQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,92.1975;92.1975;92.1975;52.7962;52.7962;52.7962;52.7962;52.7962;52.7962;52.7962;52.7962;52.7962;24.7316;24.7316;24.7316;24.7316;22.746;22.746;22.746;22.746;22.746
50000000,region,5-Bicol,23211.04,12028.55,0.026916293261421066,3.4940646772053405,1028.99,1028.99,52.8276,29.3615,67.7871,117.6322,51.9643,15.2414,58.95,77.8896,43.8293,14.1068,58.95,77.8896,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,ECQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,117.6322;52.8276;52.8276;29.3615;29.3615;29.3615;29.3615;29.3615;29.3615;29.3615;29.3615;29.3615;15.2414;15.2414;15.2414;15.2414;14.1068;14.1068;14.1068;14.1068;14.1068
40000000,region,4A-Calabarzon,23211.04,12028.55,0.07905600073641075,3.8018303750327878,4315.41,4315.41,221.0553,151.1457,321.3665,578.5462,217.2371,78.2846,260.0628,465.4525,184.4399,72.0138,260.0628,465.4525,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,ECQ;ECQ;GCQ;GCQ;GCQ;MGCQ;MGCQ;GCQ;MECQ;MECQ;GCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;ECQ3;MECQ3;GCQ3,578.5462;578.5462;221.0553;221.0553;221.0553;151.1457;151.1457;221.0553;321.3665;321.3665;221.0553;151.1457;78.2846;78.2846;78.2846;78.2846;72.0138;72.0138;465.4525;260.0628;184.4399
30000000,region,3-Central luzon,23211.04,12028.55,0.028614181650476758,3.079649618836165,2471.04,2471.04,118.9698,80.5045,166.0903,295.1441,116.8352,44.7506,138.9129,236.0065,99.4554,41.5029,138.9129,236.0065,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,ECQ;ECQ;MECQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,295.1441;295.1441;166.0903;118.9698;118.9698;80.5045;80.5045;80.5045;80.5045;80.5045;80.5045;80.5045;44.7506;44.7506;44.7506;44.7506;41.5029;41.5029;41.5029;41.5029;41.5029
20000000,region,2-Cagayan valley,23211.04,12028.55,0.0,5.219480347981297,1907.35,1907.35,78.5172,34.3948,93.832,167.5978,76.8889,19.0355,86.0295,82.924,65.799,17.7793,86.0295,82.924,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,ECQ;GCQ;GCQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;GCQ3;GCQ3;GCQ3,167.5978;78.5172;78.5172;78.5172;78.5172;34.3948;34.3948;34.3948;34.3948;34.3948;34.3948;34.3948;19.0355;19.0355;19.0355;19.0355;17.7793;17.7793;65.799;65.799;65.799
10000000,region,1-Ilocos,23211.04,12028.55,0.06359834431075828,3.23592585103607,1759.18,1759.18,97.0198,60.487,128.1643,212.1818,94.3825,31.8917,109.9954,151.5996,80.9427,29.5308,109.9954,151.5996,2020-04-30;2020-05-15;2020-05-31;2020-06-15;2020-06-30;2020-07-15;2020-07-31;2020-08-02;2020-08-15;2020-08-18;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-03-31;2021-04-30;2021-05-14;2021-05-31,ECQ;GCQ;GCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ;MGCQ2;MGCQ2;MGCQ2;MGCQ2;MGCQ3;MGCQ3;MGCQ3;MGCQ3;MGCQ3,212.1818;97.0198;97.0198;60.487;60.487;60.487;60.487;60.487;60.487;60.487;60.487;60.487;31.8917;31.8917;31.8917;31.8917;29.5308;29.5308;29.5308;29.5308;29.5308
