,pop,equar,first_date,equar_date,lambdaValues,tau,beta,c,c1,c2,omega,thetaA,thetaS,r,deltaA,deltaA1,deltaA2,epsT,epsI,epsIH,E1,E2,E3,E4,E5,k1,k2,mu,deltaS,tv1,tv2,J,S0,E0,IA0,IS0,V10,Ev10,IAv10,ISv10,V20,Ev20,IAv20,ISv20,Q0,C0,R0,startProjection_date,FittedTo,Convergence,fitness,distance,Geographical.Level,Geographical.Place,popMultiplier,area
1,81598180,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.28193293165999;0.360345667668277;0.365426897108549;0.561150195793969;0.530023080067052;0.530023080067052,5,0.434343268,0.18,0.246964,0.427056244,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001403304,1,1,1,1,1,0.809014143,0.429016,4.05E-05,0.16;0.15;0.26;0.175;0.15,109744;259662;147545;251021;481221;781335,147004;107682;239197;198067;297068;637978,57560;59309;958;1862;0;0,99660810,19869,1159,24982,5761233,1246,109,1395,2644793,345,50,292,51516,51567,2030856,2021-11-01,Active,0,0.990593768,7417.097316,national,PhilippinesNational,0.75,180000000
1,81598180,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.325491487459168;0.323047479771528;0.384274311762149;0.608602279799774;0.572388047116982;0.572388047116982,5,0.434343268,0.18,0.246964,0.427056244,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001403304,1,1,1,1,1,0.809014143,0.429016,4.05E-05,0.16;0.15;0.215;0.181;0.2,109744;259662;147545;251021;481221;781335,147004;107682;239197;198067;297068;637978,57560;59309;958;1862;0;0,100318601,23590,1412,28750,5761233,1465,131,1590,2644793,406,60,333,51516,1417672,1364774,2021-11-01,Cumulative,52,0.999929992,6488.901458,national,PhilippinesNational,0.75,180000000
1,10353498,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.0237948698493317;0.106629509158315;0.198361217176089;0.490340698680756;0.267661017659278;0.267661017659278,5,0.434343268,0.18,0.254164737,0.423513454,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001361879,1,1,1,1,1,0.792712436,0.399484607,4.05E-05,0.16;0.18;0.28;0.12;0.21,38903;101427;20964;31862;42166;38267,70645;30199;90854;42500;40407;47063,5715;3229;94;209;0;0,9670126,2042,99,2493,2369751,629,44,693,1122322,174,21,144,7255,7241,790428,2021-11-01,Active,52,0.992539745,1939.62728,region,NCR-National capital region,0.75,130000000
1,10353498,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.232610041350617;0;0.209636282250615;0.539348049947072;0.437818161021769;0.437818161021769,5,0.434343268,0.18,0.254164737,0.423513454,0.33,0.071428571,0.071428571,0.09101277,0.0375,0.015,0.015,0.001888834,0.001888834,0.001361879,1,1,1,1,1,0.792712436,0.399484607,4.05E-05,0.15;0.18;0.24;0.14;0.17,38903;101427;20964;31862;42166;38267,70645;30199;90854;42500;40407;47063,5715;3229;94;209;0;0,9936951,2847,166,3620,2369751,839,71,963,1122322,233,34,200,7255,528028,520973,2021-11-01,Cumulative,0,0.999844738,2463.472151,region,NCR-National capital region,0.75,130000000
1,3953090,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.083174259845221;0.25445628843355;0;0.588589574750116;0.410753316772086;0.377783795959783,5,0.325757451,0.18,0.251203977,0.419100245,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001345499,1,1,1,1,1,0.780081573,0.383317511,4.05E-05,0.16;0.15;0.22;0.18;0.2;0.2,3186;8164;7672;17414.89;32554.04;21925.77,2862.34;3906.97;6887.29;9946.49;19929.21;32384.65,5269.7;2046.77;39.43;233.1;0;631.68,5030312,1511,91,1632,168628,52,5,49,81076,16,2,12,2339,29529,27498,2021-12-01,Cumulative,52,0.999902983,477.8881007,region,1-Ilocos,0.75,10000000
1,3953090,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.111295518380329;0.186033549613155;0.0897210969428545;0.681187492034299;0.0851700490605914;0.290230858353617,5,0.325757451,0.18,0.251203977,0.419100245,0.33,0.071428571,0.071428571,0.09101277,0.0425,0.017,0.017,0.001888834,0.001888834,0.001345499,1,1,1,1,1,0.780081573,0.383317511,4.05E-05,0.17;0.15;0.23;0.18;0.16;0.15,3186;8164;7672;17414.89;32554.04;21925.77,2862.34;3906.97;6887.29;9946.49;19929.21;32384.65,5269.7;2046.77;39.43;233.1;0;631.68,5020315,1407,84,1557,168628,48,5,47,81076,15,2,11,2339,29529,37689,2021-12-01,Active,0,0.990079008,369.3101679,region,1-Ilocos,0.75,10000000
1,12042981,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.247802545169836;0.291243447893589;0.454687353298072;0.667471967823987;0.544197810952519;0.241600542261308,5,0.434343268,0.18,0.254881842,0.420815526,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001298086,1,1,1,1,1,0.756307504,0.387450353,4.05E-05,0.16;0.15;0.22;0.18;0.2;0.2275,22475;39880;25491;49849.1;60622;55005.32,19151.1;15607.58;41375.21;36478.86;44406.93;67073.23,7467.7;6166;0;474.9;26.86;1059.35,15171632,3192,192,3831,669598,157,14,170,269364,37,6,30,6867,243385,236017,2021-12-01,Cumulative,52,0.99980135,2295.045292,region,4A-Calabarzon,0.75,40000000
1,12042981,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.150757574829852;0.292518566403531;0.545035831043027;0.551232940326215;0.406954630599299;0.362443778234708,5,0.434343268,0.18,0.254881842,0.420815526,0.33,0.071428571,0.071428571,0.09101277,0.045,0.018,0.018,0.001888834,0.001888834,0.001298086,1,1,1,1,1,0.756307504,0.387450353,4.05E-05,0.18;0.15;0.24;0.18;0.16;0.13,22475;39880;25491;49849.1;60622;55005.32,19151.1;15607.58;41375.21;36478.86;44406.93;67073.23,7467.7;6166;0;474.9;26.86;1059.35,15071946,2446,141,3069,669598,122,10,138,269364,29,4,24,6867,243385,337349,2021-12-01,Active,0,0.989508688,1719.051728,region,4A-Calabarzon,0.75,40000000
1,3968152,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.346498862312103;0.102890527054274;0.0993846567589983;0.48046912706455;0.426666881092272;0.39457580618288,5,0.325757451,0.18,0.254456123,0.411949878,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001298019,1,1,1,1,1,0.755836533,0.350516728,4.05E-05,0.16;0.15;0.23;0.18;0.21;0.14,5898;9962;11692;10953.93;18489.04;20852.29,5589.93;8151.16;11464.46;13279.68;11524;19650.39,507.87;4078.22;0;135.81;168.36;905.39,4936984,2643,167,3117,302263,160,16,162,82522,26,4,21,4379,43532,38791,2021-12-01,Cumulative,0,0.999921359,331.8150572,region,11-Davao,0.75,110000000
1,3968152,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.303658609137064;0;0.224357720992246;0.429831132784904;0.315789939970088;0.279010516009296,5,0.325757451,0.18,0.254456123,0.411949878,0.33,0.071428571,0.071428571,0.09101277,0.045,0.018,0.018,0.001888834,0.001888834,0.001298019,1,1,1,1,1,0.755836533,0.350516728,4.05E-05,0.18;0.15;0.23;0.17;0.14;0.11,5898;9962;11692;10953.93;18489.04;20852.29,5589.93;8151.16;11464.46;13279.68;11524;19650.39,507.87;4078.22;0;135.81;168.36;905.39,4923339,1918,119,2376,302263,116,12,124,82522,19,3,16,4379,43532,54049,2021-12-01,Active,52,0.99274764,264.1692609,region,11-Davao,0.75,110000000
1,5967791,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.189694434230091;0.524217453857315;0.408700031440837;0.533854842464274;0.457954305972349;0.551563665366569,5,0.434343268,0.18,0.254389642,0.417648829,0.33,0.071428571,0.071428571,0.09101277,0.045,0.018,0.018,0.001888834,0.001888834,0.001303271,1,1,1,1,1,0.758827464,0.373130246,4.05E-05,0.18;0.15;0.22;0.18;0.15;0.136,6330;20302;6967;11993.13;29744.11;30609.77,6358.72;10551.35;13544.68;11514.15;14883.93;19641.13,1651.6;5671.19;0;0;35.32;0.71,7478605,1615,93,1834,308842,66,6,65,134898,18,3,14,3176,3206,125536,2021-12-01,Active,1,0.982205513,498.8851267,region,7-Central visayas,0.75,70000000
1,5967791,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.229052183427399;0.49343340705001;0.43505433862863;0.477118851405715;0.685228729617012;0.322014041173356,5,0.434343268,0.18,0.254389642,0.417648829,0.33,0.071428571,0.071428571,0.09101277,0.0425,0.017,0.017,0.001888834,0.001888834,0.001303271,1,1,1,1,1,0.758827464,0.373130246,4.05E-05,0.17;0.15;0.23;0.17;0.2;0.15,6330;20302;6967;11993.13;29744.11;30609.77,6358.72;10551.35;13544.68;11514.15;14883.93;19641.13,1651.6;5671.19;0;0;35.32;0.71,7530743,1829,108,2037,308842,74,7,72,134898,20,3,15,3176,76427,72948,2021-12-01,Cumulative,0,0.999665561,708.3697622,region,7-Central visayas,0.75,70000000
1,5947862,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.232832474309478;0.179989444993567;0.14592333480998;0.476945070624152;0.337882604663372;0.334885995384181,5,0.325757451,0.18,0.253511855,0.421529188,0.33,0.071428571,0.071428571,0.09101277,0.045,0.018,0.018,0.001888834,0.001888834,0.001328979,1,1,1,1,1,0.772885768,0.397806179,4.05E-05,0.18;0.15;0.23;0.18;0.15;0.12,5842.21;12503.84;8973.2;20291.97;32638.32;33057.35,5895.03;6097.61;12684.96;14310.91;18642.32;34367.13,6649.1;3627.77;35.21;281.92;1.86;2405.42,7491039,2883,179,3553,261644,106,10,115,117480,30,5,25,5796,70375,87685,2021-12-01,Active,52,0.99216851,337.2249149,region,6-Western Visayas,0.75,60000000
1,5947862,31;62;92;123;153;184,2021-07-01,2021-07-31;2021-08-31;2021-09-30;2021-10-31;2021-11-30;2021-12-31,0.243979372253304;0.27114560656644;0.0771952348336837;0.483905235871592;0.446812306848719;0.123322804430949,5,0.325757451,0.18,0.253511855,0.421529188,0.33,0.071428571,0.071428571,0.09101277,0.04,0.016,0.016,0.001888834,0.001888834,0.001328979,1,1,1,1,1,0.772885768,0.397806179,4.05E-05,0.16;0.15;0.22;0.18;0.2;0.22,5842.21;12503.84;8973.2;20291.97;32638.32;33057.35,5895.03;6097.61;12684.96;14310.91;18642.32;34367.13,6649.1;3627.77;35.21;281.92;1.86;2405.42,7513548,3229,202,3830,261644,119,12,124,117480,34,5,27,5796,70375,64501,2021-12-01,Cumulative,0,0.999931312,380.4610914,region,6-Western Visayas,0.75,60000000